"X","Y","OBJECTID","CreationDate","Creator","EditDate","Editor","GlobalID","AreaID","UNIT_CODE","Park Name","DATE_EDIT","State","REGION","GNIS_ID","UNIT_TYPE","CREATED_BY","PARKNAME"
"-10356049.09"," 4100079.932","         287","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","cc1a3c98-135a-4906-b75a-6132776d4d94","         298","HOSP","Hot Springs National Park","2020/06/15 00:00:00+00","AR","MW","56796","National Park","Lands","Hot Springs"
"-10274770.74","4128232.2041","         288","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","5c615cdc-65a1-463f-89e2-f68c801d76a3","         299","CHSC","Little Rock Central High School National Historic Site","2018/05/08 00:00:00+00","AR","MW","2091841","National Historic Site","Lands","Little Rock Central High School"
"-10512017.63","4216815.1097","         289","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","36a029cb-541f-440d-88f2-b0e0e3ff782d","         300","FOSM","Fort Smith National Historic Site","2017/03/14 00:00:00+00","AR","MW","56686","National Historic Site","Lands","Fort Smith"
"-10467359.83","4363081.0554","         290","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","7fd0b8c2-f690-4249-ad5d-208b71140d50","         301","PERI","Pea Ridge National Military Park","2015/08/11 00:00:00+00","AR","MW","53246","National Military Park","Lands","Pea Ridge"
"-10387206.08","4306130.9428","         291","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","274cb625-90b0-4509-ae0b-1926f7f7cdcc","         302","BUFF","Buffalo National River","2020/06/17 00:00:00+00","AR","MW","74272","National River","Lands","Buffalo"
"-10978900.29","3535936.5018","         292","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","29e80501-dc36-4d52-930c-1382bfab5b00","         303","LYJO","Lyndon B. Johnson National Historical Park","2017/06/23 00:00:00+00","TX","IM","1888941","National Historical Park","Lands","Lyndon B Johnson"
"-12022697.41","4416200.7664","         293","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","943c9625-937a-4e0b-b5e6-2192bc1e4824","         304","AZRU","Aztec Ruins National Monument","2017/06/22 00:00:00+00","NM","IM","885961","National Monument","Lands","Aztec Ruins"
" -12171681.8"," 4313571.756","         294","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2bd33648-881e-4571-ab56-a6cdb812fc41","         305","CACH","Canyon de Chelly National Monument","2010/12/14 00:00:00+00","AZ","IM","44981","National Monument","Lands","Canyon de Chelly"
"-12017845.58","4305303.3982","         295","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","72d47228-a89d-46c4-8db7-dc228bc831f1","         306","CHCU","Chaco Culture National Historical Park","2017/12/11 00:00:00+00","NM","IM","936878","National Historical Park","Lands","Chaco Culture"
"-12061068.45","4169175.8443","         296","2023/01/03 09:21:33+00","NPS_WASO_LANDS","2023/01/03 09:21:33+00","NPS_WASO_LANDS","fbddec57-af24-47fa-bc32-8c2263a2e3d0","         307","ELMO","El Morro National Monument","2006/12/11 00:00:00+00","NM","IM","906062","National Monument","Lands","El Morro"
